brand,model,variant,year,km,color,price,city
audi,a1,1.4 TFSI Attraction,2011,155000,White,625000,İstanbul
audi,a1,1.6 TDI Ambition,2011,252000,Black,625000,Aydın
audi,a1,1.4 TFSI Attraction,2012,203000,Black,665000,Zonguldak
audi,a1,1.6 TDI Ambition,2013,270000,White,835000,İstanbul
audi,a1,1.6 TDI Attraction,2011,228000,Black,670000,Ankara
audi,a1,1.4 TFSI Ambition,2012,205000,Black,675000,İstanbul
audi,a1,1.4 TFSI Attraction,2011,220000,Navy,675000,İzmir
audi,a1,1.6 TDI Ambition,2011,285000,White,690000,Antalya
audi,a1,1.4 TFSI Attraction,2012,300000,Black,695000,İstanbul
audi,a1,1.6 TDI Ambition,2011,219000,Red,699000,İstanbul
audi,a1,1.6 TDI Ambition,2011,208000,White,700000,Kastamonu
audi,a1,1.6 TDI Ambition,2011,295000,White,720000,İzmir
audi,a1,1.6 TDI Attraction,2013,214000,White,730000,Adana
audi,a1,1.6 TDI Ambition,2012,192000,Black,738000,İstanbul
audi,a1,1.6 TDI Attraction,2013,210000,White,740000,Adana
audi,a1,1.4 TFSI Ambition,2011,244000,Red,745000,Eskişehir
audi,a1,1.6 TDI Attraction,2012,235000,Red,745000,İstanbul
audi,a1,1.6 TDI Attraction,2012,179000,White,750000,Hatay
audi,a1,1.6 TDI Attraction,2012,201000,White,750000,Şanlıurfa
audi,a1,1.6 TDI Attraction,2014,295000,White,750000,Hatay
audi,a1,1.6 TDI Sport,2012,236000,Black,750000,İstanbul
audi,a1,1.6 TDI Ambition,2012,252000,Red,750000,Hatay
audi,a1,1.6 TDI Ambition,2012,180000,White,755000,İstanbul
audi,a1,1.6 TDI Ambition,2013,186000,Red,760000,Batman
audi,a1,1.4 TFSI Ambition,2011,255000,Blue,765000,Zonguldak
audi,a1,1.6 TDI Attraction,2012,160000,White,775000,İstanbul
audi,a1,1.6 TDI Ambition,2011,202000,Burgundy,775000,Muğla
audi,a1,1.6 TDI Attraction,2012,140000,White,775999,İstanbul
audi,a1,1.4 TFSI Ambition,2011,175000,Black,780000,Muğla
audi,a1,1.4 TFSI Ambition,2011,200000,Blue,790000,Antalya
audi,a1,1.6 TDI Attraction,2012,166000,White,790000,İstanbul
audi,a1,1.4 TFSI Ambition,2011,213000,Red,795000,Antalya
audi,a1,1.4 TFSI Ambition,2012,213000,Black,800000,İstanbul
audi,a1,1.4 TFSI Ambition,2011,196000,White,800000,İstanbul
audi,a1,1.6 TDI Attraction,2011,165400,Red,810000,Zonguldak
audi,a1,1.6 TDI Ambition,2013,181000,White,810000,İstanbul
audi,a1,1.4 TFSI Attraction,2011,113000,Beige,825000,İstanbul
audi,a1,1.6 TDI Attraction,2012,175000,White,829000,Ankara
audi,a1,1.4 TFSI Attraction,2012,165000,Black,830000,İstanbul
audi,a1,1.6 TDI Attraction,2013,182000,White,830000,İstanbul
audi,a1,1.6 TDI Ambition,2013,270000,White,835000,Mersin
audi,a1,1.4 TFSI Attraction,2012,175000,Black,835000,Bursa
audi,a1,1.6 TDI Ambition,2013,228000,White,835000,İstanbul
audi,a1,1.6 TDI Ambition,2012,245000,White,835000,İstanbul
audi,a1,1.6 TDI Attraction,2012,176000,Black,845000,İstanbul
audi,a1,1.6 TDI Ambition,2012,166000,White,845900,İstanbul
audi,a1,1.6 TDI Ambition,2012,176000,White,850000,Mersin
audi,a1,1.4 TFSI Attraction,2012,157000,Black,859000,Bursa
audi,a1,1.6 TDI Attraction,2014,152600,White,863000,Bursa
audi,a1,1.6 TDI Sport,2016,151000,White,865000,İstanbul
audi,a1,1.6 TDI Attraction,2014,214000,White,867000,İzmir
audi,a1,1.6 TDI Ambition,2014,174000,White,869000,İstanbul
audi,a1,1.6 TDI Ambition,2011,139900,Smoke Gray,869000,Tekirdağ
audi,a1,1.4 TFSI Ambition,2012,194000,Black,870000,Kocaeli
audi,a1,1.6 TDI Sport,2015,174000,White,875000,Eskişehir
audi,a1,1.6 TDI Attraction,2014,240000,White,875000,Ankara
